scanned 1692 files, 19341 fragments, 1844 candidate pairs
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:719-769  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:934-973  (STRUCTURAL, weighted=0.936214, line=0.690476)
  sandboxes/opencsg/Engine.cpp:394-429  <->  sandboxes/opencsg/ShaderCSGDisplay.cpp:28-60  (STRUCTURAL, weighted=0.931014, line=0.62963)
  src/slic3r/GUI/Gizmos/GLGizmoSVG.cpp:1985-2062  <->  src/slic3r/GUI/Gizmos/GLGizmoText.cpp:1129-1204  (STRUCTURAL, weighted=0.917965, line=0.584416)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:557-601  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:773-817  (STRUCTURAL, weighted=0.917048, line=0.944444)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:774-810  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:978-1007  (STRUCTURAL, weighted=0.900247, line=0.777778)
  sandboxes/opencsg/Engine.cpp:21-36  <->  src/slic3r/GUI/3DScene.cpp:48-69  (STRUCTURAL, weighted=0.874169, line=0.714286)
  src/libslic3r/Fill/FillConcentric.cpp:81-138  <->  src/libslic3r/Fill/FillConcentricInternal.cpp:19-81  (STRUCTURAL, weighted=0.856074, line=0.826923)
  src/slic3r/GUI/DeviceManager.cpp:806-810  <->  src/slic3r/GUI/GuiColor.cpp:26-30  (EXACT, weighted=0.85, line=1)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:453-476  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:669-692  (STRUCTURAL, weighted=0.848709, line=0.894737)
  src/slic3r/GUI/Plater.cpp:4317-4330  <->  src/slic3r/Utils/CalibUtils.cpp:149-165  (STRUCTURAL, weighted=0.846327, line=0.733333)
  src/ag/customcut/ColorCutAttributeTransfer.cpp:485-504  <->  src/slic3r/GUI/Gizmos/GLGizmoBallEraser.cpp:1216-1232  (STRUCTURAL, weighted=0.846016, line=0.733333)
  src/slic3r/Utils/FontUtils.cpp:45-59  <->  src/slic3r/Utils/WxFontUtils.cpp:47-61  (STRUCTURAL, weighted=0.83323, line=0.764706)
  src/libslic3r/Format/3mf.cpp:957-1016  <->  src/libslic3r/Format/bbs_3mf.cpp:2552-2614  (STRUCTURAL, weighted=0.830334, line=0.638298)
  src/slic3r/GUI/Notebook.hpp:267-345  <->  src/slic3r/GUI/Tabbook.hpp:266-345  (STRUCTURAL, weighted=0.812629, line=0.943396)
  src/slic3r/GUI/SelectMachine.cpp:3218-3271  <->  src/slic3r/GUI/SyncAmsInfoDialog.cpp:2045-2104  (STRUCTURAL, weighted=0.811888, line=0.588235)
  src/slic3r/GUI/Notebook.hpp:67-95  <->  src/slic3r/GUI/Tabbook.hpp:71-99  (STRUCTURAL, weighted=0.80637, line=0.592593)
  src/slic3r/GUI/Gizmos/GLGizmoAdvancedCut.cpp:2075-2099  <->  src/slic3r/GUI/Gizmos/GLGizmoColorCut.cpp:2492-2516  (STRUCTURAL, weighted=0.803069, line=0.8)
  src/slic3r/GUI/GUI_App.cpp:427-439  <->  src/slic3r/GUI/GUI_App.cpp:714-726  (EXACT, weighted=0.8, line=1)
  src/slic3r/GUI/GCodeRenderer/BaseRenderer.cpp:2820-2823  <->  src/slic3r/GUI/GCodeRenderer/BaseRenderer.cpp:2837-2840  (EXACT, weighted=0.8, line=1)
  src/slic3r/GUI/GCodeRenderer/LegacyRenderer.cpp:403-418  <->  src/slic3r/GUI/GCodeRenderer/LegacyRenderer.cpp:2214-2229  (EXACT, weighted=0.8, line=1)
  src/minilzo/minilzo.c:5606-5641  <->  src/minilzo/minilzo.c:6147-6182  (EXACT, weighted=0.8, line=1)
  src/slic3r/GUI/GUI_ObjectList.cpp:5664-5671  <->  src/slic3r/GUI/GUI_ObjectList.cpp:5851-5858  (EXACT, weighted=0.8, line=1)
  src/eigen/Eigen/src/Core/products/GeneralMatrixVector.h:484-486  <->  src/eigen/Eigen/src/Core/products/GeneralMatrixVector.h:559-561  (EXACT, weighted=0.8, line=1)
  src/libslic3r/GCode/GCodeProcessor.cpp:4006-4065  <->  src/libslic3r/GCode/GCodeProcessor.cpp:4408-4467  (EXACT, weighted=0.8, line=1)
  src/libslic3r/MultiMaterialSegmentation.cpp:2264-2311  <->  src/libslic3r/MultiMaterialSegmentation.cpp:2523-2565  (RENAMED, weighted=0.8, line=0.630435)
  xs/src/perlglue.cpp:192-194  <->  xs/src/perlglue.cpp:206-208  (EXACT, weighted=0.8, line=1)
  src/libslic3r/MinAreaBoundingBox.cpp:46-50  <->  src/libslic3r/MinAreaBoundingBox.cpp:64-68  (RENAMED, weighted=0.8, line=0.6)
  src/slic3r/Utils/OctoPrint.cpp:310-315  <->  src/slic3r/Utils/OctoPrint.cpp:354-359  (EXACT, weighted=0.8, line=1)
  src/libslic3r/Fill/FillRectilinear.cpp:1896-1901  <->  src/libslic3r/Fill/FillRectilinear.cpp:1912-1917  (RENAMED, weighted=0.8, line=0.5)
  src/slic3r/GUI/GUI_ObjectTable.cpp:281-313  <->  src/slic3r/GUI/GUI_ObjectTable.cpp:475-504  (EXACT, weighted=0.8, line=0.5)
  src/libslic3r/MultiMaterialSegmentation.cpp:2116-2139  <->  src/libslic3r/MultiMaterialSegmentation.cpp:2432-2455  (EXACT, weighted=0.8, line=0.769231)
  src/libslic3r/PresetBundle.cpp:5248-5251  <->  src/libslic3r/PresetBundle.cpp:5293-5296  (EXACT, weighted=0.8, line=1)
  src/libslic3r/MultiMaterialSegmentation.cpp:2328-2364  <->  src/libslic3r/MultiMaterialSegmentation.cpp:2583-2621  (RENAMED, weighted=0.8, line=0.555556)
  src/eigen/Eigen/src/Core/products/GeneralMatrixVector.h:207-210  <->  src/eigen/Eigen/src/Core/products/GeneralMatrixVector.h:276-279  (EXACT, weighted=0.8, line=1)
  src/slic3r/GUI/GLTexture.cpp:1003-1005  <->  src/slic3r/GUI/GLTexture.cpp:1138-1140  (EXACT, weighted=0.8, line=1)
  src/minilzo/minilzo.c:5645-5692  <->  src/minilzo/minilzo.c:6186-6233  (EXACT, weighted=0.8, line=1)
  src/libslic3r/PresetBundle.cpp:5204-5207  <->  src/libslic3r/PresetBundle.cpp:5293-5296  (EXACT, weighted=0.8, line=1)
  src/slic3r/GUI/GLModel.cpp:959-964  <->  src/slic3r/GUI/GLModel.cpp:1150-1155  (EXACT, weighted=0.8, line=1)
  src/libslic3r/PresetBundle.cpp:141-149  <->  src/libslic3r/PresetBundle.cpp:3222-3230  (EXACT, weighted=0.8, line=0.777778)
